XPos=-3155.18, YPos= 205.75, X=-3342.68, Y= 230.75
XPos=-3155.18, YPos= 255.75, X=-3317.68, Y= 230.75
XPos=-3155.18, YPos= 205.75, X=-3292.68, Y= 230.75
XPos=-3155.18, YPos= 255.75, X=-3267.68, Y= 230.75
XPos=-3155.18, YPos= 205.75, X=-3242.68, Y= 230.75
XPos=-3155.18, YPos= 255.75, X=-3217.68, Y= 230.75
XPos=-3155.18, YPos= 205.75, X=-3192.68, Y= 230.75
XPos=-3155.18, YPos= 255.75, X=-3167.68, Y= 230.75
XPos=-3155.18, YPos= 205.75, X=-3142.68, Y= 230.75
XPos=-3155.18, YPos= 255.75, X=-3117.68, Y= 230.75
XPos=-3155.18, YPos= 205.75, X=-3092.68, Y= 230.75
XPos=-3155.18, YPos= 255.75, X=-3067.68, Y= 230.75
XPos=-3155.18, YPos= 205.75, X=-3042.68, Y= 230.75
XPos=-3155.18, YPos= 255.75, X=-3017.68, Y= 230.75
XPos=-3155.18, YPos= 205.75, X=-2992.68, Y= 230.75
XPos=-3155.18, YPos= 255.75, X=-2967.68, Y= 230.75
XPos=-2755.18, YPos= 205.75, X=-2942.68, Y= 230.75
XPos=-2755.18, YPos= 255.75, X=-2917.68, Y= 230.75
XPos=-2755.18, YPos= 205.75, X=-2892.68, Y= 230.75
XPos=-2755.18, YPos= 255.75, X=-2867.68, Y= 230.75
XPos=-2755.18, YPos= 205.75, X=-2842.68, Y= 230.75
XPos=-2755.18, YPos= 255.75, X=-2817.68, Y= 230.75
XPos=-2755.18, YPos= 205.75, X=-2792.68, Y= 230.75
XPos=-2755.18, YPos= 255.75, X=-2767.68, Y= 230.75
XPos=-2755.18, YPos= 205.75, X=-2742.68, Y= 230.75
XPos=-2755.18, YPos= 255.75, X=-2717.68, Y= 230.75
XPos=-2755.18, YPos= 205.75, X=-2692.68, Y= 230.75
XPos=-2755.18, YPos= 255.75, X=-2667.68, Y= 230.75
XPos=-2755.18, YPos= 205.75, X=-2642.68, Y= 230.75
XPos=-2755.18, YPos= 255.75, X=-2617.68, Y= 230.75
XPos=-2755.18, YPos= 205.75, X=-2592.68, Y= 230.75
XPos=-3155.18, YPos= 230.75, X=-3342.68, Y= 255.75
XPos=-3155.18, YPos= 280.75, X=-3317.68, Y= 255.75
XPos=-3155.18, YPos= 230.75, X=-3292.68, Y= 255.75
XPos=-3155.18, YPos= 280.75, X=-3267.68, Y= 255.75
XPos=-3155.18, YPos= 230.75, X=-3242.68, Y= 255.75
XPos=-3155.18, YPos= 280.75, X=-3217.68, Y= 255.75
XPos=-3155.18, YPos= 230.75, X=-3192.68, Y= 255.75
XPos=-3155.18, YPos= 280.75, X=-3167.68, Y= 255.75
XPos=-3155.18, YPos= 230.75, X=-3142.68, Y= 255.75
XPos=-3155.18, YPos= 280.75, X=-3117.68, Y= 255.75
XPos=-3155.18, YPos= 230.75, X=-3092.68, Y= 255.75
XPos=-3155.18, YPos= 280.75, X=-3067.68, Y= 255.75
