Index,Sample,Report,Series,Longitude,Latitude,Datum,Rock_Class,Rock_Type,Rock_Name,Description,Rcvd_Sample_Wt_kg,SiO2_%_ME_XRF26,TiO2_%_ME_XRF26,Al2O3_%_ME_XRF26,Fe2O3_%_ME_XRF26,MnO_%_ME_XRF26,MgO_%_ME_XRF26,CaO_%_ME_XRF26,Na2O_%_ME_XRF26,K2O_%_ME_XRF26,P2O5_%_ME_XRF26,BaO_%_ME_XRF26,Cr2O3_%_ME_XRF26,SrO_%_ME_XRF26,LOI_%_OA_GRA05x,Total_%_ME_XRF26,SiO2_%_ME_ICP06,TiO2_%_ME_ICP06,Al2O3_%_ME_ICP06,Fe2O3_%_ME_ICP06,MnO_%_ME_ICP06,MgO_%_ME_ICP06,CaO_%_ME_ICP06,Na2O_%_ME_ICP06,K2O_%_ME_ICP06,P2O5_%_ME_ICP06,BaO_%_ME_ICP06,Cr2O3_%_ME_ICP06,SrO_%_ME_ICP06,LOI_%_OA_GRA05,Total_%_TOT_ICP06,S_%_S_IR,C_%_C_IR,Ba_ppm_ME_MS81,Ce_ppm_ME_MS81,Cr_ppm_ME_MS81,Cs_ppm_ME_MS81,Dy_ppm_ME_MS81,Er_ppm_ME_MS81,Eu_ppm_ME_MS81,Ga_ppm_ME_MS81,Gd_ppm_ME_MS81,Ge_ppm_ME_MS81,Hf_ppm_ME_MS81,Ho_ppm_ME_MS81,La_ppm_ME_MS81,Lu_ppm_ME_MS81,Nb_ppm_ME_MS81,Nd_ppm_ME_MS81,Pr_ppm_ME_MS81,Rb_ppm_ME_MS81,Sm_ppm_ME_MS81,Sn_ppm_ME_MS81,Sr_ppm_ME_MS81,Ta_ppm_ME_MS81,Tb_ppm_ME_MS81,Th_ppm_ME_MS81,Tm_ppm_ME_MS81,U_ppm_ME_MS81,V_ppm_ME_MS81,W_ppm_ME_MS81,Y_ppm_ME_MS81,Yb_ppm_ME_MS81,Zr_ppm_ME_MS81,Ag_ppm_ME_4ACD81,As_ppm_ME_4ACD81,Cd_ppm_ME_4ACD81,Co_ppm_ME_4ACD81,Cu_ppm_ME_4ACD81,Li_ppm_ME_4ACD81,Mo_ppm_ME_4ACD81,Ni_ppm_ME_4ACD81,Pb_ppm_ME_4ACD81,Sc_ppm_ME_4ACD81,Tl_ppm_ME_4ACD81,Zn_ppm_ME_4ACD81,As_ppm_ME_MS42,Bi_ppm_ME_MS42,Hg_ppm_ME_MS42,In_ppm_ME_MS42,Re_ppm_ME_MS42,Sb_ppm_ME_MS42,Sc_ppm_ME_MS42,Se_ppm_ME_MS42,Te_ppm_ME_MS42,Tl_ppm_ME_MS42,Nb_ppm_ME_XRF05,Y_ppm_ME_XRF05,Zr_ppm_ME_XRF05,Ni_%_Ni_OG62
1,13ATe301a,FA14029267,LC,-152.7479,62.098,WGS84,Igneous,Plutonic,granite,"fresh, gray, low index color; sparse prismatic mafic phenocrysts, needle-shaped; 10-10cm scale mafic enclave/inclusions; sulfide phenocrysts in both inclusions and matrix lithologies ",0.77,58.2,0.92,16.65,6.32,0.12,1.93,6.19,4.33,2.04,0.28,0.08,-0.01,0.1,1.93,101.75,,,,,,,,,,,,,,,,0.96,0.28,716,71.8,20,1,5.82,3.31,1.94,24.8,6.35,,7,1.17,35.5,0.49,31.2,35.8,8.48,86.3,7.47,2,845,1.8,0.96,5.68,0.48,2.43,107,3,31.6,3.1,282,-0.5,,-0.5,12,75,10,-1,4,4,7,,59,1.5,0.42,0.009,,,0.06,,1,0.04,0.07,,,,
2,13ATe302a,FA14029267,P_plut_Na,-153.0631,61.2811,WGS84,Igneous,Plutonic,granite,"biotite granite, coarse, plagioclase up to 1,2 cm, most equigranular, 3-5mm ",0.67,71.7,0.22,14.75,2.52,0.05,0.37,1.66,3.93,3.71,0.06,0.12,-0.01,0.03,0.46,99.61,,,,,,,,,,,,,,,,-0.01,0.01,1105,47.4,10,3.61,1.92,0.96,0.65,19.1,2.31,,4.3,0.37,26.5,0.18,10,16.7,4.94,109,3.2,3,292,1.1,0.36,11.45,0.17,4.18,11,-1,11.4,1.03,139,-0.5,,-0.5,1,-1,40,-1,1,21,2,,60,2.1,0.07,-0.005,,,-0.05,,0.2,-0.01,0.09,,,,
3,13ATe304a,FA14029267,,-153.0932,61.358,WGS84,Igneous,Plutonic,granite,(older) mode of feldspar megacryst porphyry with finer matrix; one of modes as blocks within megacryst porphyry (13ATe304c) ,0.44,59.5,0.94,17.15,7.11,0.13,2.57,5.41,3.89,2.44,0.27,0.11,-0.01,0.07,0.43,100.1,,,,,,,,,,,,,,,,0.01,0.01,932,45.6,10,11.65,3.49,1.92,1.35,21.3,4.06,,3.4,0.73,23.3,0.28,11.4,22.7,5.65,80.7,4.69,4,575,1.1,0.59,11.05,0.26,4.02,114,12,18.7,1.76,121,-0.5,,-0.5,14,8,80,-1,5,16,11,,88,1.7,0.05,0.01,,,0.07,,0.3,-0.01,0.39,,,,
4,13ATe304b,FA14029267,LC,-153.0932,61.358,WGS84,Igneous,Plutonic,gabbro,hornblende-gabbro (?); no megacrysts; one of modes as blocks within megacryst porphyry (13ATe304c) ,0.53,51,0.96,16.15,11.24,0.18,7.72,6.31,2.84,2.03,0.25,0.07,-0.01,0.07,1.15,100.1,,,,,,,,,,,,,,,,0.01,0.02,603,31,20,5.98,2.8,1.47,1.06,18.6,3.27,,2.9,0.55,15.1,0.21,8.5,16.9,3.79,51.6,3.7,1,596,0.6,0.46,4.77,0.23,1.54,150,-1,14.8,1.38,107,-0.5,,-0.5,46,8,100,3,46,14,9,,122,2,0.03,-0.005,,,-0.05,,0.3,0.01,0.24,,,,
5,13ATe304c,FA14029267,,-153.0932,61.358,WGS84,Igneous,Plutonic,granite,K-feldspar megacryst (up to 20cm) porphyry; abundant finer-grained xenoliths which also host megacrysts; coarse intrudes/is matrix to fine [photo]; intruded by fine=grain mafic dike ,0.61,60.7,0.52,20.1,3.66,0.04,1.35,4.66,5.41,2.37,0.2,0.11,0.01,0.09,0.18,99.46,,,,,,,,,,,,,,,,0.01,0.01,1040,30.8,30,8.54,1.25,0.69,1.57,23,1.8,,4.1,0.27,18,0.11,8.3,13.3,3.33,65.3,2.45,1,822,0.6,0.25,5.97,0.12,2.49,43,1,7.1,0.66,152,-0.5,,-0.5,7,-1,50,-1,7,19,3,,48,1.1,0.05,-0.005,,,-0.05,,0.3,-0.01,0.32,,,,
6,13ATe304d,FA14029267,P_volc,-153.0932,61.358,WGS84,Igneous,Volcanic,mafic,fine-grained mafic dike ,0.45,48.8,1.35,16.05,9.46,0.15,7.07,8.43,2.84,1.23,0.4,0.08,0.05,0.07,4.08,100.3,,,,,,,,,,,,,,,,0.04,0.42,708,44.7,360,5.65,3.64,1.82,1.62,19.4,4.7,,3.9,0.69,20.1,0.24,10.5,26.5,5.92,38.1,5.47,1,593,0.6,0.61,4.74,0.25,1.95,179,1,18.2,1.56,146,-0.5,,-0.5,36,37,90,-1,115,4,22,,102,2.1,0.01,-0.005,,,0.06,,0.5,-0.01,0.03,,,,
7,13ATe304e,FA14029267,,-153.0932,61.358,WGS84,Igneous,Plutonic,granite,"like 13ATe304c, but more altered, yet more euhedral feldspar crystals ",0.65,68.5,0.46,14.75,3.45,0.04,1.1,2.7,3.59,3.31,0.15,0.1,-0.01,0.05,0.33,98.58,,,,,,,,,,,,,,,,-0.01,0.03,1030,71.6,30,10.5,2.1,1.12,1.02,20,2.89,,5.3,0.43,40.7,0.17,11.5,25.3,7.31,96.4,3.98,3,472,1,0.37,18.8,0.18,4.05,37,-1,11,1.07,189,-0.5,,-0.5,6,-1,80,-1,6,16,5,,47,1.9,0.03,-0.005,,,0.52,,0.3,-0.01,0.37,,,,
8,13ATe305a,FA14029267,E_volc,-153.1433,61.3892,WGS84,Igneous,Volcanic,dacite,circular feldspar porphyry in fine gray matrix ,0.61,73.4,0.24,13.8,2.42,0.05,0.39,1.59,4.07,3.51,0.05,0.12,0.01,0.02,0.42,100.15,,,,,,,,,,,,,,,,-0.01,-0.01,1100,42.6,10,3.16,3.6,2.28,0.64,16.9,3.42,,4.9,0.78,22.6,0.38,8.4,18.8,4.96,95.7,3.95,2,166.5,0.7,0.57,8.59,0.38,3.13,13,1,21.7,2.32,173,-0.5,,-0.5,2,-1,20,-1,-1,12,5,,42,1.3,0.02,-0.005,,,0.05,,0.2,-0.01,0.05,,,,
9,13ATe305e,FA14029267,E_volc,-153.1401,61.389,WGS84,Igneous,Volcanic,porphyry,"amphibole porphyry, hornblende to 15mm, in leucocratic groundmass ",0.22,55.8,0.73,17.75,7.99,0.26,2.99,6.1,5.57,1.16,0.18,0.05,-0.01,0.05,0.68,99.4,,,,,,,,,,,,,,,,-0.01,0.02,506,24.3,10,12.95,3.22,2.12,1.11,21.3,3,,2.8,0.75,11.7,0.35,3.8,13.3,3.05,46.1,2.97,17,483,0.2,0.5,2.65,0.31,1.29,190,2,18.7,1.93,103,-0.5,,-0.5,14,2,10,-1,-1,11,12,,153,1.4,0.14,-0.005,,,0.08,,0.2,0.02,0.03,,,,
10,13ATe306b,FA14029267,E_volc,-153.1584,61.3888,WGS84,Igneous,Volcanic,dacite,"float, fresher, dusty/glassy segregations (sedimentary xenoliths?) ",0.54,64.9,0.7,16.55,5.35,0.14,1.29,4.37,3.9,1.43,0.21,0.08,-0.01,0.04,0.79,99.81,,,,,,,,,,,,,,,,-0.01,0.01,722,41.4,20,2.35,5.06,3.3,1.61,21.2,5.06,,4,1.09,19.6,0.48,9.2,22.1,5.26,38.4,5.09,2,390,0.6,0.79,5.48,0.46,2.42,45,1,29.2,2.97,142,-0.5,,-0.5,6,9,20,-1,-1,15,15,,108,0.8,0.07,-0.005,,,0.15,,0.4,-0.01,0.3,,,,
